frame,id,label,conf,center_x,center_y
11,9,person,0.680702269077301,83,196
11,10,person,0.6382522583007812,527,154
11,9,person,0.5916321277618408,41,228
11,3,person,0.5474618673324585,435,298
12,1,person,0.8821635842323303,728,271
12,5,person,0.776369571685791,636,245
12,9,person,0.6242853403091431,83,196
12,9,person,0.5596559643745422,40,227
12,10,person,0.5258021354675293,525,153
13,1,person,0.8573317527770996,729,274
13,5,person,0.7492205500602722,637,245
13,9,person,0.5481698513031006,82,196
13,3,person,0.5460553765296936,438,298
13,2,person,0.5460311770439148,446,225
14,1,person,0.8522412180900574,729,275
14,5,person,0.7329007387161255,637,244
14,9,person,0.5572206974029541,41,187
14,3,person,0.5498822927474976,439,298
14,10,person,0.5363142490386963,521,169
14,4,person,0.5177392363548279,353,136
14,9,person,0.5153021812438965,82,197
15,1,person,0.8555788993835449,730,278
15,5,person,0.758322536945343,637,244
15,3,person,0.6393382549285889,440,298
15,4,person,0.6129934787750244,355,135
15,10,person,0.5805129408836365,521,171
15,9,person,0.5599297285079956,41,189
15,9,person,0.5528423190116882,81,197
16,1,person,0.8633244037628174,732,280
16,5,person,0.7498593330383301,637,243
16,3,person,0.6225255727767944,441,298
16,9,person,0.5616559982299805,39,189
16,9,person,0.5566595792770386,81,197
16,4,person,0.5399130582809448,356,135
16,10,person,0.5388341546058655,521,172
17,1,person,0.850961446762085,734,281
17,5,person,0.7924185991287231,638,241
17,9,person,0.6148180961608887,35,187
17,10,person,0.595079243183136,519,173
17,9,person,0.5758083462715149,81,197
17,3,person,0.5338289141654968,442,297
17,4,person,0.5298298597335815,357,136
18,1,person,0.7667685151100159,737,281
18,5,person,0.7002241015434265,640,241
18,3,person,0.6252827048301697,444,297
18,10,person,0.5789602398872375,518,173
18,4,person,0.5630309581756592,358,135
18,9,person,0.5155473351478577,82,198
19,1,person,0.7850533723831177,739,282
19,10,person,0.6294703483581543,518,173
19,5,person,0.56339430809021,644,237
19,4,person,0.5618481636047363,359,135
20,1,person,0.8015755414962769,742,283
20,5,person,0.6656555533409119,645,239
20,4,person,0.5878728032112122,359,134
20,10,person,0.5796452164649963,519,173
20,3,person,0.5683527588844299,446,295
20,11,person,0.5339877009391785,354,230
21,1,person,0.755374550819397,744,283
21,5,person,0.6278992891311646,652,232
21,4,person,0.5898300409317017,361,134
21,11,person,0.5491638779640198,352,230
21,10,person,0.5335509181022644,517,173
21,9,person,0.529433012008667,82,200
22,5,person,0.7099851369857788,654,231
22,1,person,0.6816884875297546,750,284
22,3,person,0.593410313129425,447,295
22,4,person,0.5772774815559387,361,134
22,12,handbag,0.5614204406738281,154,116
22,10,person,0.5307884216308594,517,173
22,11,person,0.5109008550643921,349,230
23,5,person,0.7077676653862,655,231
23,1,person,0.6785522699356079,752,284
23,10,person,0.6396766304969788,516,172
23,9,person,0.5705661177635193,82,200
23,4,person,0.5584986209869385,362,134
23,3,person,0.5501156449317932,448,294
23,11,person,0.5015009045600891,348,230
24,10,person,0.6764928698539734,516,172
24,5,person,0.6646782159805298,660,228
24,1,person,0.5981321334838867,757,285
24,9,person,0.5430738925933838,82,197
24,3,person,0.5312105417251587,449,293
24,4,person,0.520221471786499,363,134
25,1,person,0.7819624543190002,758,286
25,10,person,0.7127984166145325,516,171
25,3,person,0.5900082588195801,450,293
25,4,person,0.5250076055526733,364,133
26,1,person,0.7637360692024231,760,291
26,10,person,0.6319527626037598,517,171
26,5,person,0.6040992736816406,670,226
26,3,person,0.5677983164787292,451,293
26,4,person,0.5156207084655762,364,133
27,1,person,0.779536783695221,761,295
27,5,person,0.707918643951416,672,230
27,10,person,0.6608980298042297,518,172
27,9,person,0.6164699196815491,82,197
27,3,person,0.6073444485664368,452,293
27,4,person,0.5449931025505066,365,133
28,1,person,0.8056502342224121,762,301
28,5,person,0.7570961713790894,674,231
28,10,person,0.6540813446044922,518,171
28,9,person,0.6457602977752686,83,197
28,3,person,0.6289425492286682,453,293
28,11,person,0.5363937020301819,344,257
29,1,person,0.7827489972114563,763,302
29,5,person,0.7596047520637512,677,230
29,9,person,0.6776840686798096,82,196
29,10,person,0.625400185585022,518,171
29,11,person,0.5896094441413879,342,258
30,1,person,0.8004918098449707,764,305
30,5,person,0.7774320840835571,679,223
30,9,person,0.6808701157569885,83,199
30,10,person,0.621324896812439,518,171
30,3,person,0.5976919531822205,456,294
30,12,person,0.5053836703300476,138,129
30,4,person,0.504138708114624,372,131
31,1,person,0.7958353161811829,764,307
31,5,person,0.7896063923835754,682,225
31,9,person,0.6264554262161255,84,197
31,10,person,0.5667686462402344,518,171
31,4,person,0.5562750697135925,373,129
